latitude,longitude,timestamp,uncertainty,Datetime,Lat_X,Lon_Y,In_Out,Percentage_of_Intersection
59.123893635126045,14.608557179256835,1610727327,2.0,2021-01-15 17:15:27,3163793.5750691877,824611.093971505,IN,100.0
59.12390421220356,14.608557215006645,1610727333,2.5499713657470697,2021-01-15 17:15:33,3163792.597751364,824610.841351565,IN,92.5364972984118
59.12389612422643,14.608549295152185,1610727334,2.0,2021-01-15 17:15:34,3163793.4586677807,824610.5987086679,IN,100.0
59.12389612422657,14.608549295151871,1610727335,2.0,2021-01-15 17:15:35,3163793.458667773,824610.5987086471,IN,100.0
59.12389612422643,14.608549295152185,1610727336,2.0,2021-01-15 17:15:36,3163793.4586677807,824610.5987086679,IN,100.0
59.12386687834322,14.608546114069915,1610727341,2.0,2021-01-15 17:15:41,3163796.20533561,824611.127011813,IN,95.07073527115267
59.123876060971156,14.608562433320602,1610727342,2.213720039693932,2021-01-15 17:15:42,3163795.1224416206,824611.8071098306,IN,100.0
59.123866579303716,14.608545883426665,1610727342,2.8763753286500977,2021-01-15 17:15:42,3163796.2362716487,824611.1214739806,IN,81.26851502928312
59.12389347307557,14.608548213464653,1610727343,2.213720039693932,2021-01-15 17:15:43,3163793.7190719484,824610.6027934799,IN,99.51169990567561
59.12386657934631,14.608545883450857,1610727343,2.8763753286500977,2021-01-15 17:15:43,3163796.2362673664,824611.121474291,IN,81.26859469006803
59.123866648729475,14.608545925921959,1610727344,2.0,2021-01-15 17:15:44,3163796.2292485125,824611.1221494128,IN,94.67862840013461
59.123866651272536,14.608545927576909,1610727345,2.142228540633905,2021-01-15 17:15:45,3163796.2289898414,824611.1221795847,IN,92.44940563818247
59.12386669286645,14.608545955944026,1610727347,2.142228540633905,2021-01-15 17:15:47,3163796.2247403404,824611.1227447996,IN,92.5184511497652
59.12386701093693,14.608546297865319,1610727349,2.142228540633905,2021-01-15 17:15:49,3163796.19044524,824611.1339691748,IN,93.15740033002923
59.12390116711982,14.6085452639879,1610727353,3.5967989680216927,2021-01-15 17:15:53,3163793.0509688845,824610.2547292373,IN,80.05365348077046
59.12389836151689,14.608548583797585,1610727354,2.0,2021-01-15 17:15:54,3163793.262289782,824610.5055763135,IN,100.0
59.1238982426447,14.608548101558876,1610727355,2.0,2021-01-15 17:15:55,3163793.280208204,824610.4818090566,IN,100.0
59.12387923976912,14.608509431143782,1610727357,2.403619955923605,2021-01-15 17:15:57,3163795.591692669,824608.8038867355,IN,61.25769033447992
59.12389824264474,14.608548101558284,1610727357,2.0,2021-01-15 17:15:57,3163793.280208209,824610.4818090231,IN,100.0
59.12389824264484,14.608548101559306,1610727358,2.0,2021-01-15 17:15:58,3163793.2802081853,824610.4818090769,IN,100.0
59.123898262088964,14.608548181883886,1610727359,2.0,2021-01-15 17:15:59,3163793.2772564557,824610.4857764615,IN,100.0
59.123879323710526,14.60851016608114,1610727359,2.0,2021-01-15 17:15:59,3163795.573363277,824608.8424484914,IN,66.57309023461538
59.12386744137282,14.608542696815705,1610727360,2.0,2021-01-15 17:16:00,3163796.202521027,824610.9247633072,IN,92.29157043599045
59.12386744137288,14.608542696815725,1610727363,2.0,2021-01-15 17:16:03,3163796.2025210205,824610.9247633065,IN,92.29157052570571
59.123867441372845,14.608542696815698,1610727365,2.0,2021-01-15 17:16:05,3163796.2025210257,824610.9247633065,IN,92.2915704477345
59.123867441279295,14.608542696792496,1610727366,2.0,2021-01-15 17:16:06,3163796.2025299976,824610.9247642765,IN,92.2914460307821
59.123867416552436,14.608544046895721,1610727367,2.0,2021-01-15 17:16:07,3163796.1853826223,824610.9999103516,IN,93.62942080989889
59.12386824095497,14.608540996979766,1610727368,2.0,2021-01-15 17:16:08,3163796.1531431996,824610.8116544451,IN,91.37443036609169
59.12386824095097,14.608540996976929,1610727369,2.0,2021-01-15 17:16:09,3163796.153143609,824610.8116543847,IN,91.37442292818858
59.12386828742105,14.60854023004354,1610727370,2.0,2021-01-15 17:16:10,3163796.1598898917,824610.7681868011,IN,90.59866855692513
59.12386838969051,14.608540281521273,1610727375,2.142228540633905,2021-01-15 17:16:15,3163796.149704335,824610.768567674,IN,88.54007742142342
59.12387167586702,14.608528324193015,1610727376,2.142228540633905,2021-01-15 17:16:16,3163796.0183146847,824610.0292007631,IN,78.63664715013506
59.123867116284345,14.60854414321365,1610727377,2.142228540633905,2021-01-15 17:16:17,3163796.211726439,824611.0124564491,IN,91.16990730962111
59.1238671162845,14.608544143213733,1610727378,2.142228540633905,2021-01-15 17:16:18,3163796.2117264234,824611.0124564501,IN,91.16990756211662
59.12386711628433,14.608544143213631,1610727379,2.142228540633905,2021-01-15 17:16:19,3163796.2117264406,824611.0124564485,IN,91.16990727458953
59.123867154012785,14.60854417246645,1610727381,2.0,2021-01-15 17:16:21,3163796.207821169,824611.0131636135,IN,93.48708586382905
59.1238672129208,14.608544207685563,1610727382,2.0,2021-01-15 17:16:22,3163796.2018740796,824611.013690431,IN,93.58168322490879
59.12388433256203,14.608521207346024,1610727384,2.0,2021-01-15 17:16:24,3163794.951883539,824609.3315676993,IN,88.00146424919355
59.12389031298403,14.60852422438233,1610727386,2.0,2021-01-15 17:16:26,3163794.356164148,824609.3542138002,IN,94.99245321270251
59.123903795576794,14.608562758075516,1610727389,2.0,2021-01-15 17:16:29,3163792.556450421,824611.157460409,IN,97.7874696397447
59.123868222939024,14.608544645761896,1610727390,2.0,2021-01-15 17:16:30,3163796.102293077,824611.0135689521,IN,94.98052872092903
59.12386697595358,14.608550009109964,1610727099,3.025978242807802,2021-01-15 17:11:39,3163796.1402630806,824611.3397411918,IN,81.10938359905137
59.12390145721804,14.608555154294526,1610727100,2.0,2021-01-15 17:11:40,3163792.8818350714,824610.7938754003,IN,100.0
59.12386692412985,14.60855005378263,1610727101,4.900149849914754,2021-01-15 17:11:41,3163796.144406114,824611.3434553711,IN,55.66965109099136
59.12388286709725,14.608585029050891,1610727102,2.213720039693932,2021-01-15 17:11:42,3163794.168687207,824612.8909891695,IN,96.5060887296869
59.123864376666695,14.608547938529249,1610727102,6.774321457021706,2021-01-15 17:11:42,3163796.410109831,824611.2879721932,OUT,33.92762585208025
59.123864490968906,14.608546881901715,1610727103,6.405970905405932,2021-01-15 17:11:43,3163796.41476109,824611.2268753404,OUT,36.864985203303455
59.12388286709725,14.608585029050891,1610727103,2.213720039693932,2021-01-15 17:11:43,3163794.168687207,824612.8909891695,IN,96.5060887296869
59.12388286709728,14.60858502905091,1610727104,2.213720039693932,2021-01-15 17:11:44,3163794.168687205,824612.8909891698,IN,96.50608869587013
59.12386671122688,14.608545358084084,1610727104,6.037620353790159,2021-01-15 17:11:44,3163796.231649244,824611.0892898329,OUT,40.621222009129966
59.12389882592107,14.608538671181428,1610726805,2.0,2021-01-15 17:06:45,3163793.362065597,824609.9470370638,IN,97.73659344320794
59.123866564926914,14.608546350866304,1610726805,2.142228540633905,2021-01-15 17:06:45,3163796.2308718846,824611.1476314256,IN,92.76916353196935
