,hash_id,latitude,longitude,timestamp,uncertainty,convert_time,percentage_of_intersect,IN_OUT
65,2,59.12387174957009,14.608544194929301,1610723626,2.696905947674757,2021-01-15 16:13:46,88.33874415996193,IN
66,2,59.123872471840066,14.608543782326816,1610723627,2.696905947674757,2021-01-15 16:13:47,88.64559911354556,IN
67,1,59.123875774385034,14.608509921933813,1610723465,3.395203430746582,2021-01-15 16:11:05,51.687553279183035,IN
68,1,59.12387577438504,14.608509921933816,1610723466,3.395203430746582,2021-01-15 16:11:06,51.687553285461824,IN
69,1,59.12387577438506,14.608509921933816,1610723467,3.395203430746582,2021-01-15 16:11:07,51.68755328650655,IN
70,1,59.123877412607925,14.608541086889419,1610723469,9.56898339738668,2021-01-15 16:11:09,18.64375172959591,OUT
71,2,59.1238699238727,14.608540713162446,1610723563,3.4856069124261837,2021-01-15 16:12:43,74.0467041573321,IN
72,2,59.12386949424794,14.608540243581205,1610723564,4.27430787717761,2021-01-15 16:12:44,63.532269122425696,IN
73,2,59.12386949424785,14.608540243581096,1610723565,4.27430787717761,2021-01-15 16:12:45,63.5322689891831,IN
74,2,59.123869494247934,14.608540243581192,1610723566,4.27430787717761,2021-01-15 16:12:46,63.532269106305954,IN
75,2,59.12387930936454,14.608538476851278,1610723558,4.27430787717761,2021-01-15 16:12:38,69.12616777971029,IN
76,2,59.1238699238727,14.608540713162446,1610723559,3.4856069124261837,2021-01-15 16:12:39,74.0467041573321,IN
77,2,59.12385900612158,14.608543411184465,1610723567,6.037620353790159,2021-01-15 16:12:47,39.07364998401519,OUT
78,2,59.12387368538477,14.608549327226493,1610723568,4.27430787717761,2021-01-15 16:12:48,70.30216510647469,IN
79,2,59.12387104838852,14.608553110428096,1610723620,4.302666611484265,2021-01-15 16:13:40,68.32499557207615,IN
80,2,59.123871392932244,14.6085523006188,1610723621,4.795852317561527,2021-01-15 16:13:41,59.05780550238987,IN
81,2,59.123876872856904,14.60855101158698,1610724083,2.696905947674757,2021-01-15 16:21:23,97.10489231266943,IN
82,2,59.12387924606759,14.608559576224472,1610724094,5.084762443884144,2021-01-15 16:21:34,55.634113325321636,IN
83,2,59.123879420241444,14.608536806771903,1610724100,5.3810348044108745,2021-01-15 16:21:40,50.90767955590775,IN
84,2,59.12388313739122,14.608545552386156,1610724102,3.025978242807802,2021-01-15 16:21:42,94.50788370053594,IN
85,2,59.12392783118528,14.608583732660989,1610724103,4.041894391292306,2021-01-15 16:21:43,39.9834709072296,OUT
86,2,59.12392783118529,14.608583732661016,1610724105,4.041894391292306,2021-01-15 16:21:45,39.983470882074144,OUT
87,2,59.123874964488614,14.608547810753961,1610724106,3.8094809054070033,2021-01-15 16:21:46,79.07087556538244,IN
88,2,59.123874964488586,14.608547810473025,1610724108,3.8094809054070033,2021-01-15 16:21:48,79.07078303178314,IN
89,2,59.12387240737943,14.608561859600256,1610724166,3.2531934265408795,2021-01-15 16:22:46,87.92062340615307,IN
90,2,59.12387673751562,14.608555392967016,1610724167,3.025978242807802,2021-01-15 16:22:47,96.18131253937156,IN
91,2,59.12387673751571,14.608555392966714,1610724168,3.025978242807802,2021-01-15 16:22:48,96.18131247203092,IN
92,2,59.123881878660974,14.608547811423032,1610724182,4.038970376042816,2021-01-15 16:23:02,79.0115139347144,IN
93,2,59.12388627471266,14.608558352388618,1610724152,3.8094809054070033,2021-01-15 16:22:32,87.17140162783329,IN
94,2,59.12387841075578,14.608556624645633,1610724153,4.041894391292306,2021-01-15 16:22:33,78.76986937680613,IN
95,2,59.12387506393088,14.608553272852676,1610724154,4.27430787717761,2021-01-15 16:22:34,71.49479023361116,IN
96,2,59.1238750639309,14.608553272852586,1610724156,4.27430787717761,2021-01-15 16:22:36,71.49479025147471,IN
97,2,59.12387971363696,14.608547118961491,1610724075,4.27430787717761,2021-01-15 16:21:15,72.32071833066955,IN
98,2,59.1238760715716,14.60855283839524,1610724077,2.696905947674757,2021-01-15 16:21:17,97.63206280249985,IN
99,2,59.12387607157142,14.608552838395884,1610724078,2.696905947674757,2021-01-15 16:21:18,97.63206304097228,IN
100,2,59.12387607157141,14.608552838396006,1610724079,2.696905947674757,2021-01-15 16:21:19,97.63206308955313,IN
101,2,59.123876872856904,14.60855101158698,1610724080,2.696905947674757,2021-01-15 16:21:20,97.10489231266943,IN
102,2,59.12387743041343,14.608556805927124,1610724050,3.395203430746582,2021-01-15 16:20:50,91.58488197765304,IN
103,2,59.123922684192856,14.608591716494136,1610724145,3.8094809054070033,2021-01-15 16:22:25,39.7233038916961,OUT
